Year,County,FIP_code,State,Specificity ,Accessibility ,CombinedRecVar,,,,,,,
2015,Cabarrus,37025,North Carolina,0.5,1,0.5,,,,,,,
2015,Caldwell,37027,North Carolina,0.5,1,0.5,,,,,,,
2015,Camden,37029,North Carolina,0.5,1,0.5,,,,,,,
2019,Carteret,37031,North Carolina,0.5,0.5,0.25,,,,,,,
2017,Caswell,37033,North Carolina,1,5,5,,,,,,,
2018,Catawba,37035,North Carolina,0.5,1,0.5,,,,,,,
2017,Chatham,37037,North Carolina,3,5,15,,,,,,,
2018,Cherokee,37039,North Carolina,0.5,1,0.5,,,,,,,
2015,Chowan,37041,North Carolina,0.5,1,0.5,,,,,,,
2019,Clay,37043,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Cleveland,37045,North Carolina,0.5,1,0.5,,,,,,,
2017,Columbus,37047,North Carolina,1,5,5,,,,,,,
2019,Craven,37049,North Carolina,0.5,0.5,0.25,,,,,,,
2017,Cumberland,37051,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Currituck,37053,North Carolina,0.5,1,0.5,,,,,,,
2017,Dare,37055,North Carolina,0.5,1,0.5,,,,,,,
2019,Davidson,37057,North Carolina,1,5,5,,,,,,,
2016,Davie,37059,North Carolina,0.5,0.5,0.25,,,,,,,
2019,Duplin,37061,North Carolina,0.5,1,0.5,,,,,,,
2018,Durham,37063,North Carolina,0.5,1,0.5,,,,,,,
2017,Edgecombe,37065,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Forsyth,37067,North Carolina,0.5,1,0.5,,,,,,,
2015,Franklin,37069,North Carolina,0.5,0.5,0.25,,,,,,,
2017,Gaston,37071,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Gates,37073,North Carolina,0.5,1,0.5,,,,,,,
2018,Graham,37075,North Carolina,0.5,1,0.5,,,,,,,
2016,Granville,37077,North Carolina,4,5,20,,,,,,,
2019,Greene,37079,North Carolina,0.5,0.5,0.25,,,,,,,
2019,Guilford,37081,North Carolina,6,4,24,,,,,,,
2019,Halifax,37083,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Harnett,37085,North Carolina,1,6,6,,,,,,,
2019,Haywood,37087,North Carolina,0.5,1,0.5,,,,,,,
2019,Henderson,37089,North Carolina,1,5,5,,,,,,,
2015,Hertford,37091,North Carolina,0.5,1,0.5,,,,,,,
2019,Hoke,37093,North Carolina,0.5,1,0.5,,,,,,,
2015,Hyde,37095,North Carolina,0.5,1,0.5,,,,,,,
2019,Iredell,37097,North Carolina,0.5,1,0.5,,,,,,,
2015,Jackson,37099,North Carolina,0.5,1,0.5,,,,,,,
2015,Johnston,37101,North Carolina,0.5,1,0.5,,,,,,,
2015,Jones,37103,North Carolina,0.5,1,0.5,,,,,,,
2017,Lee,37105,North Carolina,0.5,1,0.5,,,,,,,
2015,Lenoir,37107,North Carolina,0.5,1,0.5,,,,,,,
2015,Lincoln,37109,North Carolina,0.5,1,0.5,,,,,,,
2019,McDowell,37111,North Carolina,3,5,15,,,,,,,
2015,Macon,37113,North Carolina,0.5,1,0.5,,,,,,,
2016,Madison,37115,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Martin,37117,North Carolina,4,5,20,,,,,,,
2019,Mecklenburg,37119,North Carolina,1,4,4,,,,,,,
2015,Mitchell,37121,North Carolina,0.5,1,0.5,,,,,,,
2016,Montgomery,37123,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Moore,37125,North Carolina,0.5,0.5,0.25,,,,,,,
2019,Nash,37127,North Carolina,0.5,1,0.5,,,,,,,
2015,New Hanover,37129,North Carolina,0.5,1,0.5,,,,,,,
2017,Northampton,37131,North Carolina,0.5,1,0.5,,,,,,,
2017,Onslow,37133,North Carolina,0.5,1,0.5,,,,,,,
2019,Orange,37135,North Carolina,1,4,4,,,,,,,
2015,Pamlico,37137,North Carolina,0.5,1,0.5,,,,,,,
2015,Pasquotank,37139,North Carolina,0.5,1,0.5,,,,,,,
2017,Pender,37141,North Carolina,0.5,1,0.5,,,,,,,
2015,Perquimans,37143,North Carolina,0.5,1,0.5,,,,,,,
2019,Person,37145,North Carolina,0.5,4,2,,,,,,,
2016,Pitt,37147,North Carolina,0.5,0.5,0.25,,,,,,,
2019,Polk,37149,North Carolina,6,5,30,,,,,,,
2019,Randolph,37151,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Richmond,37153,North Carolina,0.5,0.5,0.25,,,,,,,
2018,Robeson,37155,North Carolina,0.5,0.5,0.25,,,,,,,
2018,Rockingham,37157,North Carolina,0.5,0.5,0.25,,,,,,,
2019,Rowan,37159,North Carolina,0.5,0.5,0.25,,,,,,,
2019,Rutherford,37161,North Carolina,3,5,15,,,,,,,
2016,Sampson,37163,North Carolina,0.5,0.5,0.25,,,,,,,
2019,Scotland,37165,North Carolina,0.5,0.5,0.25,,,,,,,
2018,Stanly,37167,North Carolina,0.5,1,0.5,,,,,,,
2015,Stokes,37169,North Carolina,0.5,1,0.5,,,,,,,
2018,Surry,37171,North Carolina,0.5,0.5,0.25,,,,,,,
2017,Swain,37173,North Carolina,0.5,1,0.5,,,,,,,
2016,Transylvania,37175,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Tyrrell,37177,North Carolina,4,5,20,,,,,,,
2017,Union,37179,North Carolina,0.5,0.5,0.25,,,,,,,
2016,Vance,37181,North Carolina,4,5,20,,,,,,,
2015,Wake,37183,North Carolina,2,5,10,,,,,,,
2016,Warren,37185,North Carolina,0.5,1,0.5,,,,,,,
2015,Washington,37187,North Carolina,4,5,20,,,,,,,
2016,Watauga,37189,North Carolina,0.5,1,0.5,,,,,,,
2016,Wayne,37191,North Carolina,0.5,0.5,0.25,,,,,,,
2019,Wilkes,37193,North Carolina,0.5,1,0.5,,,,,,,
2017,Wilson,37195,North Carolina,0.5,3,1.5,,,,,,,
2019,Yadkin,37197,North Carolina,0.5,1,0.5,,,,,,,
2015,Yancey,37199,North Carolina,0.5,1,0.5,,,,,,,
2015,Albany,36001,New York,0.5,1,0.5,,,,,,,
2018,Allegany,36003,New York,0.5,0.5,0.25,,,,,,,
2017,Bronx,36005,New York,0.5,0.5,0.25,,,,,,,
2015,Broome,36007,New York,0.5,6,3,,,,,,,
2015,Cattaraugus,36009,New York,0.5,1,0.5,,,,,,,
2018,Cayuga,36011,New York,1,4,4,,,,,,,
2019,Chautauqua,36013,New York,0.5,1,0.5,,,,,,,
2015,Chemung,36015,New York,1,4,4,,,,,,,
2015,Chenango,36017,New York,0.5,0.5,0.25,,,,,,,
2015,Clinton,36019,New York,4,5,20,,,,,,,
2019,Columbia,36021,New York,0.5,1,0.5,,,,,,,
2016,Cortland,36023,New York,0.5,1,0.5,,,,,,,
2015,Delaware,36025,New York,0.5,1,0.5,,,,,,,
2019,Dutchess,36027,New York,5,4,20,,,,,,,
2015,Erie,36029,New York,1,6,6,,,,,,,
2019,Essex,36031,New York,0.5,1,0.5,,,,,,,
2019,Franklin,36033,New York,0.5,0.5,0.25,,,,,,,
2019,Fulton,36035,New York,0.5,0.5,0.25,,,,,,,
2015,Genesee,36037,New York,0.5,1,0.5,,,,,,,
2015,Greene,36039,New York,0.5,1,0.5,,,,,,,
2017,Hamilton,36041,New York,5,5,25,,,,,,,
2019,Herkimer,36043,New York,0.5,0.5,0.25,,,,,,,
2019,Jefferson,36045,New York,0.5,1,0.5,,,,,,,
2017,Kings,36047,New York,0.5,0.5,0.25,,,,,,,
2018,Lewis,36049,New York,0.5,1,0.5,,,,,,,
2017,Livingston,36051,New York,3,6,18,,,,,,,
2019,Madison,36053,New York,1,3,3,,,,,,,
2015,Monroe,36055,New York,1,5,5,,,,,,,
2019,Montgomery,36057,New York,0.5,1,0.5,,,,,,,
2015,Nassau,36059,New York,0.5,1,0.5,,,,,,,
2017,New York,36061,New York,0.5,0.5,0.25,,,,,,,
2015,Niagara,36063,New York,2,5,10,,,,,,,
2015,Oneida,36065,New York,0.5,1,0.5,,,,,,,
2015,Onandaga,36067,New York,6,4,24,,,,,,,
2016,Ontario,36069,New York,4,6,24,,,,,,,
2019,Orange,36071,New York,3,4,12,,,,,,,
2017,Orleans,36073,New York,0.5,0.5,0.25,,,,,,,
2015,Oswego,36075,New York,0.5,1,0.5,,,,,,,
2019,Otsego,36077,New York,0.5,0.5,0.25,,,,,,,
2015,Putnam,36079,New York,0.5,1,0.5,,,,,,,
2017,Queens,36081,New York,0.5,0.5,0.25,,,,,,,
2017,Rensselaer,36083,New York,0.5,0.5,0.25,,,,,,,
2017,Richmond,36085,New York,0.5,0.5,0.25,,,,,,,
2015,Rockland,36087,New York,1,5,5,,,,,,,
2019,St Lawrence,36089,New York,0.5,1,0.5,,,,,,,
2016,Saratoga,36091,New York,0.5,0.5,0.25,,,,,,,
2019,Schenectady,36093,New York,0.5,5,2.5,,,,,,,
2018,Schoharie,36095,New York,0.5,1,0.5,,,,,,,
2015,Schuyler,36097,New York,0.5,0.5,0.25,,,,,,,
2015,Seneca,36099,New York,0.5,1,0.5,,,,,,,
2015,Steuben,36101,New York,1,4,4,,,,,,,
2015,Suffolk,36103,New York,1,5,5,,,,,,,
2019,Sullivan,36105,New York,0.5,1,0.5,,,,,,,
2015,Tioga,36107,New York,0.5,0.5,0.25,,,,,,,
2015,Tompkins,36109,New York,1,5,5,,,,,,,
2015,Ulster,36111,New York,0.5,1,0.5,,,,,,,
2015,Warren,36113,New York,0.5,1,0.5,,,,,,,
2015,Washington,36115,New York,1,5,5,,,,,,,
2019,Wayne,36117,New York,5,5,25,,,,,,,
2015,Westchester,36119,New York,1,5,5,,,,,,,
2019,Wyoming,36121,New York,0.5,1,0.5,,,,,,,
2017,Yates,36123,New York,0.5,1,0.5,,,,,,,
2015,Adams,08001,Colorado,0.5,1,0.5,,,,,,,
2018,Alamosa,08003,Colorado,0.5,0.5,0.25,,,,,,,
2015,Arapahoe,08005,Colorado,0.5,1,0.5,,,,,,,
2017,Archuleta,08007,Colorado,0.5,0.5,0.25,,,,,,,
2016,Baca,08009,Colorado,0.5,1,0.5,,,,,,,
2019,Bent,08011,Colorado,0.5,1,0.5,,,,,,,
2017,Boulder,08013,Colorado,1,4,4,,,,,,,
2015,Chaffee,08015,Colorado,0.5,1,0.5,,,,,,,
2015,Cheyenne,08017,Colorado,0.5,0.5,0.25,,,,,,,
2019,Clear Creek,08019,Colorado,0.5,1,0.5,,,,,,,
2016,Conejos,08021,Colorado,0.5,0.5,0.25,,,,,,,
2015,Costilla,08023,Colorado,0.5,0.5,0.25,,,,,,,
2015,Crowley,08025,Colorado,0.5,0.5,0.25,,,,,,,
2015,Custer,08027,Colorado,0.5,1,0.5,,,,,,,
2016,Delta,08029,Colorado,3,4,12,,,,,,,
2015,Denver,08031,Colorado,0.5,0.5,0.25,,,,,,,
2017,Dolores,08033,Colorado,0.5,0.5,0.25,,,,,,,
2015,Douglas,08035,Colorado,0.5,1,0.5,,,,,,,
2015,Eagle,08037,Colorado,1,4,4,,,,,,,
2015,Elbert,08039,Colorado,0.5,1,0.5,,,,,,,
2015,El Paso,08041,Colorado,4,4,16,,,,,,,
2019,Fremont,08043,Colorado,5,5,25,,,,,,,
2015,Garfield,08045,Colorado,1,5,5,,,,,,,
2018,Gilpin,08047,Colorado,0.5,0.5,0.25,,,,,,,
2015,Grand,08049,Colorado,0.5,1,0.5,,,,,,,
2015,Gunnison,08051,Colorado,1,5,5,,,,,,,
2015,Hinsdale,08053,Colorado,1,5,5,,,,,,,
2015,Huerfano,08055,Colorado,6,4,24,,,,,,,
2016,Jackson,08057,Colorado,0.5,5,2.5,,,,,,,
2015,Jefferson,08059,Colorado,1,6,6,,,,,,,
2015,Kiowa,08061,Colorado,0.5,0.5,0.25,,,,,,,
2019,Kit Carson,08063,Colorado,0.5,0.5,0.25,,,,,,,
2015,Lake,08065,Colorado,0.5,1,0.5,,,,,,,
2017,La Plata,08067,Colorado,0.5,0.5,0.25,,,,,,,
2015,Larimer,08069,Colorado,0.5,5,2.5,,,,,,,
2015,Las Animas,08071,Colorado,6,4,24,,,,,,,
2015,Lincoln,08073,Colorado,0.5,1,0.5,,,,,,,
2015,Logan,08075,Colorado,0.5,1,0.5,,,,,,,
2015,Mesa,08077,Colorado,0.5,1,0.5,,,,,,,
2019,Mineral,08079,Colorado,0.5,0.5,0.25,,,,,,,
2016,Moffat,08081,Colorado,0.5,5,2.5,,,,,,,
2017,Montezuma,08083,Colorado,0.5,0.5,0.25,,,,,,,
2019,Montrose,08085,Colorado,1,5,5,,,,,,,
2015,Morgan,08087,Colorado,0.5,1,0.5,,,,,,,
2019,Otero,08089,Colorado,0.5,0.5,0.25,,,,,,,
2015,Ouray,08091,Colorado,0.5,0.5,0.25,,,,,,,
2015,Park,08093,Colorado,0.5,0.5,0.25,,,,,,,
2015,Phillips,08095,Colorado,0.5,1,0.5,,,,,,,
2017,Pitkin,08097,Colorado,0.5,0.5,0.25,,,,,,,
2016,Prowers,08099,Colorado,0.5,1,0.5,,,,,,,
2015,Pueblo,08101,Colorado,2,5,10,,,,,,,
2019,Rio Blanco,08103,Colorado,0.5,1,0.5,,,,,,,
2019,Rio Grande,08105,Colorado,1,6,6,,,,,,,
2016,Routt,08107,Colorado,0.5,5,2.5,,,,,,,
2015,Saguache,08109,Colorado,0.5,0.5,0.25,,,,,,,
2017,San Juan,08111,Colorado,0.5,0.5,0.25,,,,,,,
2015,San Miguel,08113,Colorado,0.5,0.5,0.25,,,,,,,
2015,Sedgwick,08115,Colorado,0.5,1,0.5,,,,,,,
2016,Summit,08117,Colorado,0.5,0.5,0.25,,,,,,,
2015,Teller,08119,Colorado,0.5,0.5,0.25,,,,,,,
2015,Washington,08121,Colorado,0.5,1,0.5,,,,,,,
2017,Weld,08123,Colorado,0.5,1,0.5,,,,,,,
2015,Yuma,08125,Colorado,0.5,1,0.5,,,,,,,
2015,Alachua,12001,Florida,0.5,1,0.5,,,,,,,
2015,Baker,12003,Florida,0.5,1,0.5,,,,,,,
2015,Bay,12005,Florida,0.5,1,0.5,,,,,,,
2015,Bradford,12007,Florida,0.5,1,0.5,,,,,,,
2015,Brevard,12009,Florida,0.5,1,0.5,,,,,,,
2015,Broward,12011,Florida,0.5,0.5,0.25,,,,,,,
2015,Calhoun,12013,Florida,0.5,1,0.5,,,,,,,
2015,Charlotte,12015,Florida,0.5,0.5,0.25,,,,,,,
2015,Citrus,12017,Florida,0.5,1,0.5,,,,,,,
2015,Clay,12019,Florida,0.5,1,0.5,,,,,,,
2015,Collier,12021,Florida,1,6,6,,,,,,,
2015,Columbia,12023,Florida,0.5,1,0.5,,,,,,,
2015,Dade,12086,Florida,0.5,4,2,,,,,,,
2015,De Soto,12027,Florida,0.5,0.5,0.25,,,,,,,
2015,Dixie,12029,Florida,0.5,1,0.5,,,,,,,
2015,Duval,12031,Florida,2,5,10,,,,,,,
2015,Escambia,12033,Florida,0.5,0.5,0.25,,,,,,,
2015,Flagler,12035,Florida,0.5,1,0.5,,,,,,,
2015,Franklin,12037,Florida,0.5,1,0.5,,,,,,,
2015,Gadsden,12039,Florida,0.5,1,0.5,,,,,,,
2015,Gilchrist,12041,Florida,1,4,4,,,,,,,
2015,Glades,12043,Florida,0.5,1,0.5,,,,,,,
2015,Gulf,12045,Florida,2,4,8,,,,,,,
2015,Hamilton,12047,Florida,0.5,1,0.5,,,,,,,
2015,Hardee,12049,Florida,0.5,0.5,0.25,,,,,,,
2015,Hendry,12051,Florida,0.5,1,0.5,,,,,,,
2015,Hernando,12053,Florida,0.5,1,0.5,,,,,,,
2015,Highlands,12055,Florida,0.5,0.5,0.25,,,,,,,
2015,Hillsborough,12057,Florida,0.5,1,0.5,,,,,,,
2015,Holmes,12059,Florida,0.5,1,0.5,,,,,,,
2015,Indian River,12061,Florida,5,3,15,,,,,,,
2015,Jackson,12063,Florida,0.5,1,0.5,,,,,,,
2015,Jefferson,12065,Florida,0.5,1,0.5,,,,,,,
2015,Lafayette,12067,Florida,0.5,1,0.5,,,,,,,
2015,Lake,12069,Florida,0.5,1,0.5,,,,,,,
2015,Lee,12071,Florida,0.5,1,0.5,,,,,,,
2015,Leon,12073,Florida,0.5,0.5,0.25,,,,,,,
2015,Levy,12075,Florida,3,5,15,,,,,,,
2015,Liberty,12077,Florida,0.5,1,0.5,,,,,,,
2015,Madison,12079,Florida,0.5,1,0.5,,,,,,,
2015,Manatee,12081,Florida,0.5,0.5,0.25,,,,,,,
2015,Marion,12083,Florida,0.5,0.5,0.25,,,,,,,
2015,Martin,12085,Florida,0.5,0.5,0.25,,,,,,,
2015,Monroe,12087,Florida,0.5,1,0.5,,,,,,,
2015,Nassau,12089,Florida,0.5,2,1,,,,,,,
2015,Okaloosa,12091,Florida,0.5,1,0.5,,,,,,,
2015,Okeechobee,12093,Florida,0.5,1,0.5,,,,,,,
2015,Orange,12095,Florida,4,5,20,,,,,,,
2015,Osceola,12097,Florida,0.5,1,0.5,,,,,,,
2015,Palm Beach,12099,Florida,0.5,1,0.5,,,,,,,
2015,Pasco,12101,Florida,0.5,0.5,0.25,,,,,,,
2015,Pinellas,12103,Florida,4,5,20,,,,,,,
2015,Polk,12105,Florida,0.5,2,1,,,,,,,
2015,Putnam,12107,Florida,0.5,1,0.5,,,,,,,
2015,St Johns,12109,Florida,0.5,0.5,0.25,,,,,,,
2015,St Lucie,12111,Florida,0.5,1,0.5,,,,,,,
2015,Santa Rosa,12113,Florida,1,4,4,,,,,,,
2015,Sarasota,12115,Florida,5,4,20,,,,,,,
2015,Seminole,12117,Florida,4,4,16,,,,,,,
2015,Sumter,12119,Florida,0.5,1,0.5,,,,,,,
2015,Suwannee,12121,Florida,0.5,1,0.5,,,,,,,
2015,Taylor,12123,Florida,0.5,1,0.5,,,,,,,
2015,Union,12125,Florida,0.5,1,0.5,,,,,,,
2015,Volusia,12127,Florida,1,4,4,,,,,,,
